 u'kinda'	53
 u'volgomessina'	1
 u'annoyingly'	2
 u'@aspenworldwide'	1
 u'bugatti'	4
 u'countryradio'	1
 u'twixnmix'	2
 u'likeit'	1
 u'\U0001f64c\U0001f3fc'	4
 u'naughtybynature'	1
 u'tactually'	1
 u'sometimes'	75
 u'thisisnz'	2
 u'publicly'	3
 u'all'	13
 u'travelersresthere'	1
 u'disneycharacter'	1
 u'teambada'	4
 u'hamburguer'	3
 u'@silentsnake84'	1
 u'drinknyc'	1
 u'wide'	5
 u'otoh'	2
 u'29st'	2
 u'prawn'	1
 u'@greenphilart'	1
 u'additionally'	6
 u'howtomakecolajelly'	1
 u'effortlessly'	2
 u'iltipoaiutoragazzi'	1
 u'incredibly'	18
 u'guess'	1
 u'writ'	1
 u'datboi'	3
 u'eatmenot'	1
 u'compleetly'	2
 u'lelinator4ever'	1
 u'dad\U0001f602'	1
 u'south'	11
 u'missmarely'	1
 u'thailandonly'	6
 u'lucky'	1
 u'again\u201dtia'	1
 u'motogp'	1
 u'seeminly'	4
 u'@gunsbikesdaily'	1
 u'lelinatorfamily'	53
 u'so'	788
 u'proportionally'	3
 u'agordinhaperdeuojuizo'	1
 u'rockabilly'	24
 u'hellbilly'	2
 u'live'	18
 u'charliesangels'	1
 u'onlinestore'	13
 u'elevatorselfie'	1
 u'course'	28
 u'specialeffectsmakeupartist'	1
 u'accurately'	4
 u'lecrae'	1
 u'promptly'	4
 u'currently'	78
 u'madonnacd'	1
 u'@thewinetattoo'	1
 u'beforehand'	1
 u'nologo'	1
 u'kiwiana'	1
 u'holly'	1
 u'dab147315'	2
 u'directly'	32
 u'volvere'	1
 u'finally\U0001f64c\U0001f64c'	1
 u'holloweenfirst'	1
 u'availablejahakk'	1
 u'@ashleycoon'	1
 u'spiritually'	4
 u'nada'	10
 u'northeast'	2
 u'spiderlily'	1
 u'\U0001f46d\U0001f46d\U0001f46d\U0001f46d\U0001f46d\U0001f46d\U0001f46d\U0001f46d\U0001f46d\U0001f46d\U0001f46d\U0001f46d'	17
 u'n\u2019t'	6176
 u'\U0001f30e'	11
 u'cooperatively'	2
 u'instapic#igdaily'	1
 u'@jazzbass251'	1
 u'arguably'	2
 u'totally'	73
 u'frenchiepetsupply'	4
 u'shoutout'	27
 u'alllllllll'	1
 u'northamerica'	2
 u'@moneygunchicago'	1
 u'camisaxadrez'	1
 u'raulesparza'	1
 u'fitmodel'	5
 u'sickly'	10
 u'fairly'	31
 u'uruguay'	1
 u'\U0001f449\U0001f3fd'	4
 u'sort'	30
 u'environmentally'	3
 u'missourionly'	2
 u'spfriendly'	1
 u'tommyhilfigerrugby'	1
 u'@crossfit'	8
 u'inittogether'	1
 u'ultimately'	5
 u'amen\U0001f64f'	1
 u'vodka\xad-lemonade'	2
 u'junkfood'	14
 u'c25k'	1
 u'\U0001f947#swim'	1
 u'lovesicily'	1
 u'manually'	2
 u'garlicbread'	2
 u'shittingmyself'	1
 u'absoloutely'	1
 u'unsurprisingly'	2
 u'high'	11
 u'letsgosomewhere'	7
 u'enak'	1
 u'notoriously'	1
 u'@xratedwouldyourather'	2
 u'mikesinger'	6
 u'jujube'	1
 u'not'	346
 u'finely'	1
 u'mid'	1
 u'underwater'	1
 u'barelye'	2
 u'specially'	15
 u'nomondayblueshere'	1
 u'withfamily'	1
 u'asanten'	1
 u'stadefrancais'	1
 u'separately'	9
 u'vamp'	1
 u'liveauthentically'	1
 u'together\U0001f423'	1
 u'@aliphspinner'	1
 u'otaku'	18
 u"\U0001f479\U0001f43a\U0001f40ddon't"	1
 u'mitk\xf8benhavn'	1
 u'bbg'	3
 u'htc'	8
 u'smarter'	1
 u'texastattoo'	1
 u'holidaysarentcomingyet'	1
 u'correctly'	17
 u'\U0001f4ab'	2
 u'letsgetlost'	1
 u'santiago'	2
 u'manly'	2
 u'youthoughtiforgotaboutthat'	1
 u'nomakeupdontcare'	2
 u'aggressively'	6
 u'macbook'	3
 u'vendingmachinelyf'	1
 u'sprite'	23
 u'relatively'	3
 u'curlywurly'	1
 u'start\U0001f919\U0001f3fc'	1
 u'miam'	3
 u'@heikolochmann'	2
 u'fitnessloveronly'	1
 u'saturdaysarefortheboys'	2
 u'http://interbrand.com/best-brands/best-global-brands/2016/ranking/cocacola/'	1
 u'lastly'	10
 u'@get_repost'	6
 u'twitter.com/alrightiwes/st'	1
 u'videosoon'	2
 u'@timidakolo'	1
 u'gently'	11
